,bucket,config,output,domain,horizion,prefix,timestep,ensemble,source,version,startDate,endDate,http_pattern
1,analysis_assim,analysis_assim,channel_rt,conus,3,tm,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
2,analysis_assim,analysis_assim,land,conus,3,tm,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
3,analysis_assim,analysis_assim,reservoir,conus,3,tm,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
4,analysis_assim,analysis_assim,terrain_rt,conus,3,tm,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
5,forcing_analysis_assim,analysis_assim,forcing,conus,3,tm,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_analysis_assim/nwm.t{HH}z.analysis_assim.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
6,forcing_medium_range,medium_range,forcing,conus,240,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_medium_range/nwm.t{HH}z.medium_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
7,forcing_short_range,short_range,forcing,conus,18,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_short_range/nwm.t{HH}z.short_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
8,long_range_mem1,long_range,channel_rt,conus,120,f,6,1,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
9,long_range_mem1,long_range,land,conus,30,f,24,1,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
10,long_range_mem1,long_range,reservoir,conus,120,f,6,1,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
